ID,Address,Postal Code,City,Company ID,Deleted At,Created At,Ccc,Country,Red Authorisation Status,Agreement ID,Regime,Professional Group,Municipality,Location Address ID
89,,41019,,068c009952517263,,"September 10, 2025, 3:23 PM",29148470290,,Pending verification,15,0111,,,068c197f52947d67
93,,28050,,068c038267217ad3,,"September 10, 2025, 3:27 PM",28250450859,,Pending verification,15,0111,,,068c198deb447036
105,,17155,,068c04b8beb77836,,"September 18, 2025, 2:41 PM",17117212912,,Pending verification,15,0111,,,068cc1a024ed759b
116,,28079,,068d53d81f1c799f,,"September 25, 2025, 1:17 PM",28246327551,,Pending verification,15,0111,,,068d540fd7037f1c
124,,8019,,068d53d7cb4d70e6,,"September 25, 2025, 1:21 PM",08215724992,,Pending verification,15,0111,,,068d541f2fde7dc0
130,,28092,,068e2b6ce23873a6,,"October 5, 2025, 6:21 PM",28251329216,,Pending verification,15,0111,,,068e2b70e26f7082
156,,8184,,068f5f8ad8ea7717,,"October 20, 2025, 8:58 AM",08216562226,,Pending verification,15,0111,,,068f5f9bd68c77b0
138,,46229,,068e2b6d2c477f7c,,"October 5, 2025, 6:21 PM",46153305672,,Pending verification,15,0111,,,068e2b711c13781e
32,CC Ànecblau,08860,Castelldefels,019580a180b1136b,,"March 11, 2025, 2:11 PM",08217743606,ESP,Authorised,10,0111,,08056,0195858b8cbb6f08
45,TFN - Tenerife,00000,Santa Cruz de Tenerife,067f79104abc7a3b,,"April 25, 2025, 5:04 PM",38123254541,ESP,Authorised,14,0111,,38038,01966de876f0dc77
47,EAS - San Sebastián,00000,Donostia/San Sebastián,067f79104abc7a3b,,"April 25, 2025, 5:05 PM",20116413708,ESP,Authorised,14,0111,,20069,01966de8f8a3f1f8
43,MAD - Madrid,00000,Madrid,067f79104abc7a3b,,"April 25, 2025, 5:04 PM",28269451139,ESP,Authorised,14,0111,,28079,01966de8150cf518
17,Calle Vicente Blasco Ibáñez,03201,Elche,0193731662e37e50,,"November 28, 2024, 3:21 PM",03143996534,ESP,Authorised,4,0111,C,03065,0193735ce52721f7
54,QSA - Sabadell,00000,Sabadell,067f79104abc7a3b,,"May 5, 2025, 10:04 AM",08232146890,ESP,Authorised,14,0111,,08187,01969fe78c6d795b
12,Festivales,,Madrid,019276d6e1d870b4,,"November 8, 2024, 1:59 PM",28245099590,ESP,Authorised,12,0111,,28079,01930c127a8c6585
16,Avenida Goleta 25,03540,Alicante,0193731662e37e50,,"November 28, 2024, 3:20 PM",03143996534,ESP,Authorised,4,0111,C,03014,0193735bc425ef78
29,Granollers,08402,Granollers,019580a180b1136b,,"March 11, 2025, 2:09 PM",08217743606,ESP,Authorised,10,0111,,08096,01958589c58de205
42,LPA - Gran Canaria,00000,"Palmas de Gran Canaria, Las",067f79104abc7a3b,,"April 25, 2025, 5:03 PM",35124331813,ESP,Authorised,14,0111,,35016,01966de7e74dc21b
14,Calle Bazán 47,03001,Alicante,0193730cdf5d83ad,,"November 28, 2024, 3:09 PM",03140825341,ESP,Authorised,4,0111,C,03014,01937351a723d424
20,Foodtruck,03015,Alicante,01937316d6df74ab,,"November 29, 2024, 10:40 AM",03145247733,ESP,Authorised,4,0111,C,03014,01937781a4ff20d0
8,"Travessera de gracia 34, local",08021,Barcelona,0191e8239df004dc,,"September 12, 2024, 11:41 AM",08224814502,ESP,Not authorised,2,0111,D,08019,0191e60a4758b986
50,ALC - Alicante,00000,Alicante,067f79104abc7a3b,,"April 25, 2025, 5:05 PM",03147512580,ESP,Authorised,14,0111,,03014,01966de9a91670b0
18,Calle Olof Palme,0301,Alicante,0193731662e37e50,,"November 28, 2024, 3:22 PM",03143996534,ESP,Authorised,4,0111,C,03014,0193735e323779c1
13,Calle Periodista Rodolfo Salazar 29,03015,Alicante,0193730cdf5d3cc1,,"November 28, 2024, 2:50 PM",03138689725,ESP,Authorised,4,0111,C,03014,01937340c91419fe
56,PCR - Puerto de la Cruz,00000,Puerto de la Cruz,067f79104abc7a3b,,"May 5, 2025, 10:05 AM",38123254541,ESP,Authorised,14,0111,,38028,01969fe85e76382a
27,Santa Coloma de Gramanet,08921,Santa Coloma de Gramanet,019580a180b1136b,,"March 11, 2025, 2:08 PM",08217743606,ESP,Authorised,10,0111,,08245,01958588c2c6b89c
31,Terrassa,08221,Terrassa,019580a180b1136b,,"March 11, 2025, 2:10 PM",08217743606,ESP,Authorised,10,0111,,08279,0195858aa7127c59
48,VIT - Vitoria,00000,Vitoria-Gasteiz,067f79104abc7a3b,,"April 25, 2025, 5:05 PM",01108039282,ESP,Authorised,14,0111,,01059,01966de92620cbaf
52,MAL - Málaga,00000,Málaga,067f79104abc7a3b,,"April 25, 2025, 5:06 PM",29147870813,ESP,Authorised,14,0111,,29067,01966dea1bbb4f63
40,Oficina,08015,Bacelona,0680b94c6196776c,,"April 25, 2025, 2:35 PM",08228036922,ESP,Authorised,13,0111,,08019,01966d603b2bd004
39,Platja d'Aro,17250,Girona,019580a180b1136b,,"April 9, 2025, 3:06 PM",17118546862,ESP,Authorised,10,0111,,17079,01961b1660023e05
46,BIL - Bilbao,00000,Bilbao,067f79104abc7a3b,,"April 25, 2025, 5:04 PM",48124956671,ESP,Authorised,14,0111,,48020,01966de8a3c183c1
38,Viladecans,08840,Viladecans,067e3e4a7ca97fda,,"March 26, 2025, 11:39 AM",08222079809,ESP,Authorised,11,0111,,08301,0195d240275e1427
21,Calle Torrent de l'Olla 89,08012,Barcelona,0194cc125de8ad7b,,"February 4, 2025, 10:52 AM",08221355844,ESP,Authorised,6,0111,,08019,0194d096b6777e5a
25,Sabadell,08202,Sabadell,019580a180b1136b,,"March 10, 2025, 4:07 PM",08217743606,ESP,Authorised,10,0111,,08187,019580cf7c7e22f7
24,Calle Doctor Rizal 20,08006,Barcelona,0194feb5f39353a6,,"February 13, 2025, 9:52 AM",08226833617,ESP,Not authorised,6,0111,,08019,0194feb9694f6fe1
7,"Rambla del Carmel 76, Atic",08032,Barcelona,0191db6efe10e834,,"September 2, 2024, 3:15 PM",08000000000,ESP,Pending verification,5,0111,,08019,0191b34e8a633586
44,VAL - Valencia,00000,Valencia,067f79104abc7a3b,,"April 25, 2025, 5:04 PM",46160254714,ESP,Authorised,14,0111,,46250,01966de848934840
19,Calle José Calvo 10,28039,Madrid,01937317a6a6a3ef,,"November 28, 2024, 3:26 PM",28258335343,ESP,Authorised,7,0111,C,28079,0193736194c4920d
33,CC La Farga,08860,Hospitalet del Llobregat,019580a180b1136b,,"March 11, 2025, 2:11 PM",08217743606,ESP,Authorised,10,0111,,08101,0195858bf25fb070
36,Becarios,08210,Barberá del Vallés,019580a180b1136b,,"March 20, 2025, 1:58 PM",08232280670,ESP,Authorised,10,0111,,08252,0195b3d97dcad530
23,Av Pius XII 19,46015,Valencia,0194f62a7ab1362f,,"February 11, 2025, 6:01 PM",46152163904,ESP,Authorised,9,0111,,46250,0194f62c8c9822ba
9,Grandes Recintos,,Madrid,019276d6e1d870b4,,"October 10, 2024, 10:40 AM",28167960039,ESP,Authorised,3,0111,,28079,01927603b358c3fd
10,Cuentas,,Madrid,019276d6e1d870b4,,"October 10, 2024, 10:40 AM",28201610652,ESP,Authorised,12,0111,,28079,01927603d2987716
6,"Rambla del Carmel 76, Atic",08032,Barcelona,0191a1af1a485755,,"September 2, 2024, 12:11 PM",08230741909,ESP,Authorised,1,0111,,08019,0191b2a569d721bf
22,Calle Alcala 91,28009,Madrid,0194f536d710999d,,"February 11, 2025, 1:45 PM",28233041076,ESP,Authorised,8,0111,,28079,0194f541c188e7f6
57,GRA - Granada,00000,Granada,067f79104abc7a3b,,"May 9, 2025, 12:55 PM",18127336152,ESP,Authorised,14,0111,,18087,0196b51d6bb4cbcd
15, Galle Gerona 16 Benidorm,03001,Alicante,01937314f0be4c28,,"November 28, 2024, 3:15 PM",03142233356,ESP,Authorised,4,0111,C,03014,01937357ce45c1c3
11,Llacuna 164,08018,Barcelona,0191a1af1a481264,,"October 31, 2024, 3:54 PM",08230741909,ESP,Authorised,5,0111,,08019,0192e3497ac4b365
63,,08107,,0688b314cbc5708e,,"July 31, 2025, 9:12 AM",43118430704,,Pending verification,15,0111,,,0688b337cc1d71ab
30,-,08221,Barcelona,019580a180b1136b,,"March 11, 2025, 2:09 PM",08217743606,ESP,Authorised,10,0111,,08019,0195858a5aa15067
72,,35510,,067f79104abc7a3b,,"September 6, 2025, 7:32 AM",35124331813,,Pending verification,14,0111,,,068bbe37eb2873d7
98,,03750,,068c0493e54a7d17,,"September 10, 2025, 3:30 PM",03142221434,,Pending verification,15,0111,,,068c19989a7a7812
101,,29004,,068c03f8e47e76b3,,"September 10, 2025, 3:32 PM",29142593104,,Pending verification,15,0111,,,068c19a1e1557a90
102,,18130,,068c03f8e47e76b3,,"September 10, 2025, 3:33 PM",18126971592,,Pending verification,15,0111,,,068c19a36a3f7ffc
103,,36860,,068c03ea92c47bb4,,"September 10, 2025, 3:33 PM",36121306200,,Pending verification,15,0111,,,068c19a5f1d0784f
106,,11020,,068d53d7d1577d66,,"September 25, 2025, 1:15 PM",11122640800,,Pending verification,15,0111,,,068d540607cb7793
